name,gamma,R_s/sce,R_s*K/sce,R,R*K,A/sce,|Z[289]-Z[1]|/sce,W,R_s*K/sce+A/sce+|Z[289]-Z[1]|/sce,objective,time,status
noreb,1.0,0.0,0.0,0.0,0.0,3174.4193548387098,126.12903225806451,0.0,3300.548387096774,3300.5483870967764,92.15779894099978,Infeasible
streb,1.0,69.0,108.0,69.0,108.0,429.77419354838696,101.22580645161287,0.0,638.9999999999998,639.000000000003,25.638979879000544,Optimal
2dir,0.0,84.50430809077422,152.31205537470967,61.99762730999997,100.12137334799996,27.439069144112892,82.36677670506448,22.152660030999996,262.11790122388703,262.11790122388754,33.27654800500022,Optimal
2dir,0.5,81.61989921832259,151.57172362080644,60.84665340899999,102.61060943,28.301398394983543,82.58836948493548,20.402668522999996,262.46149150072546,272.66282576222545,32.094508614000006,Optimal
2dir,1.0,81.20384662249165,150.45488973002068,61.35428629489006,103.87251302679007,29.99710851345416,83.41100256238711,18.448013781997513,263.86300080586193,282.3110145878606,32.50706962100048,Optimal
2dir,1.5,80.32770406967751,148.956957027871,61.307710145,104.082607343,31.79465335548488,83.74388024516131,17.9675504815,264.4954906285172,291.4468163507663,31.622480615999848,Optimal
2dir,2.0,77.40176829403234,148.03888432741974,60.722318908,107.87619662600001,33.918131204709674,84.66641354612902,16.776965682,266.6234290782584,300.17736044225745,32.628206675,Optimal
2dir,2.5,78.29011352238706,147.90142732509685,63.85187964,113.04591434000002,35.30937652435526,85.66633513532261,15.809369549999998,268.8771389847747,308.40056285977494,33.0271047440001,Optimal
2dir,3.0,80.1275936225751,148.04678200224922,67.80706346769777,118.10174337539779,36.49937661370999,86.89402145916125,14.872043304697764,271.44018007512045,316.05630998921447,33.31251262400019,Optimal
2dir,3.5,80.55549255069016,150.56054270775462,70.9229935034,126.34206105339999,36.71060127619332,87.85762605158064,13.7571328814,275.1287700355286,323.27873512042856,33.16486612400058,Optimal
2dir,4.0,80.58210343306463,152.0364340730646,72.41801221099999,130.385408195,36.958882002614224,89.35673141774197,12.897980382000002,278.3520474934208,329.94396902142034,32.6082188270002,Optimal
2dir,4.5,79.86585116761295,150.41022110448387,72.86686511500001,131.724939495,41.35739490870994,90.91721092000004,11.866067558000001,282.68482693319385,336.0821309441937,32.84342551700047,Optimal
2dir,5.0,80.46841617645157,151.26442747096795,74.98380331900002,135.807531917,42.413864217097334,93.13492783570965,10.996649595,286.81321952377493,341.7964674987749,32.83762446600031,Optimal
dpt_arr,0.0,91.43059549716132,140.1498579124518,67.57839932,100.94722186999999,12.832643495981232,87.65706797190317,6.988745754000001,240.63956938033624,240.63956938033624,31.91113112400035,Optimal
dpt_arr,0.5,88.0530369858388,138.25317775867748,65.62976857999999,100.50198787999999,13.654362861774189,88.84458545555803,6.473927273999999,240.7521260760097,243.98908971300975,31.90118108600018,Optimal
dpt_arr,1.0,86.94717840909344,137.73167097715483,64.37560088570001,100.0158201594,14.107005407096597,89.07275345067747,6.28732894651,240.91142983492892,247.1987587814387,31.356953590999183,Optimal
dpt_arr,1.5,86.53613240248382,137.60115962235483,64.39067067400002,100.23466219800004,14.152661802193261,89.3512544089032,6.140746474,241.10507583345128,250.3161955444509,31.742202847000044,Optimal
dpt_arr,2.0,86.43736539045145,138.34263073283844,64.94974281200001,101.77824689000002,14.198207303420608,88.97930490606447,5.915491320000001,241.52014294232353,253.351125582324,31.443754668999645,Optimal
dpt_arr,2.5,85.28391823322907,138.3181939651966,64.63143042500002,102.71370216499999,14.244805560583123,89.44242055209676,5.697214667899998,242.0054200778765,256.248456747627,31.31414249000045,Optimal
dpt_arr,3.0,85.25058226203224,138.29616635577406,64.78160567399999,103.08797919399998,14.26400429287097,89.59207885629034,5.642355898999998,242.15224950493536,259.07931720193574,30.27512958999978,Optimal
dpt_arr,3.5,84.14931374784385,137.6610524725535,63.671809113,102.30017156499999,15.503497709935475,89.71229017012901,5.415041137659999,242.876840352618,261.82948433442783,30.87026210499971,Optimal
dpt_arr,4.0,84.08937552706455,137.6158047601612,63.559825671999995,102.12758625600001,15.720591049419582,89.7373649847419,5.361503894,243.07376079432268,264.5197763703225,30.112803916000303,Optimal
dpt_arr,4.5,84.08937552706455,137.6158047601612,63.559825671999995,102.12758625600001,15.720591049419358,89.7373649847419,5.361503894,243.07376079432248,267.20052831732227,30.009063631999197,Optimal
dpt_arr,5.0,83.70619728488063,137.26031057210633,62.83142978799999,101.37415543399999,16.567889418129038,89.91146747935481,5.221922536399999,243.7396674695902,269.84928015158977,29.900759524000023,Optimal
